Date,Open,High,Low,Close,Volume
2015-11-26,609.0,609.0,604.0,606.0,1258000
2015-11-27,603.0,609.5,600.5,609.0,775232
2015-11-30,609.0,611.0,605.0,610.5,2098140
2015-12-01,619.5,627.5,613.5,627.5,2920586
2015-12-02,629.0,638.0,623.5,623.5,2175459
2015-12-03,621.5,627.5,605.0,606.5,2412855
2015-12-04,604.0,617.86,592.5,602.0,1916234
2015-12-07,607.0,619.0,601.0,610.5,1862042
2015-12-08,611.5,613.14,602.0,603.0,1669581
2015-12-09,607.0,608.0,597.5,598.0,1611980
2015-12-10,595.0,600.5,591.0,594.5,1881611
2015-12-11,592.0,592.5,581.5,586.5,2120768
2015-12-14,587.0,595.92,582.5,582.5,1735206
2015-12-15,585.5,602.5,585.5,598.5,1855829
2015-12-16,598.5,603.5,596.5,603.0,1651147
2015-12-18,601.5,606.5,594.5,594.5,2577492
2015-12-21,594.5,604.0,593.0,593.0,1135848
2015-12-22,598.0,602.5,591.5,594.5,1310162
2015-12-23,598.5,604.5,594.34,602.0,851108
2015-12-24,604.5,606.0,603.0,605.0,109020
2015-12-29,611.5,614.5,608.0,612.5,1377589
2015-12-30,609.0,615.5,604.5,607.0,622775
2015-12-31,598.5,608.5,598.5,600.0,497271
2016-01-04,594.0,595.5,585.93,593.5,1303947
2016-01-05,596.0,601.5,591.0,597.5,1382811
2016-01-06,598.0,598.0,588.5,591.5,1923647
2016-01-07,580.0,589.0,580.0,584.5,1939447
2016-01-08,584.0,585.5,578.5,578.5,1478124
2016-01-11,576.0,586.0,571.29,577.5,1456401
2016-01-12,581.5,586.5,576.5,582.5,1303046
2016-01-13,588.0,592.5,583.5,588.0,1239565
2016-01-14,583.5,584.0,576.5,576.5,1978246
2016-01-15,575.0,580.0,565.0,571.0,2569422
2016-01-18,570.5,576.5,568.5,568.5,966788
2016-01-19,578.0,579.5,568.5,569.5,1829656
2016-01-20,560.0,563.5,546.5,550.0,2167502
2016-01-21,553.0,566.0,550.0,560.0,2802010
2016-01-22,570.0,575.0,565.0,569.5,2347253
2016-01-25,573.0,575.5,568.0,573.0,1983560
2016-01-26,567.0,571.5,564.5,571.5,1569471
2016-01-27,569.0,573.5,564.5,573.5,1777156
2016-01-28,570.0,577.0,566.96,567.0,1635231
2016-01-29,576.5,584.0,571.0,583.5,2224678
2016-02-01,586.5,589.5,578.5,588.0,1576198
2016-02-02,587.0,588.0,579.0,580.5,1452816
2016-02-03,579.0,582.0,571.0,575.0,2087867
2016-02-04,585.0,585.0,569.0,571.0,1629918
2016-02-05,570.5,578.5,566.0,566.5,2392699
2016-02-08,571.0,571.5,547.0,549.0,1547811
2016-02-09,552.0,552.0,537.0,540.0,2073936
2016-02-10,542.0,551.18,541.5,545.5,2209955
2016-02-11,540.5,543.0,531.0,535.5,3093033
2016-02-12,535.5,544.5,531.5,535.0,3819288
2016-02-15,546.5,564.5,546.5,559.5,2206682
2016-02-16,566.0,566.0,553.5,553.5,2208373
2016-02-17,558.0,568.5,555.5,566.5,1792143
2016-02-18,555.0,564.5,545.0,558.0,2286556
2016-02-19,557.0,563.5,554.5,563.5,2276096
2016-02-22,567.5,569.5,559.0,559.5,1980166
2016-02-23,559.5,559.5,549.5,551.0,1390375
2016-02-24,551.0,552.25,532.5,535.0,2314448
2016-02-25,538.0,546.5,538.0,544.5,1752285
2016-02-26,548.0,553.5,547.5,548.0,1706083
2016-02-29,544.5,550.5,536.0,549.5,2798073
2016-03-01,551.0,555.0,547.5,553.0,2192977
2016-03-02,556.0,559.0,554.5,558.0,2393817
2016-03-03,558.5,562.5,555.5,558.0,1764614
2016-03-04,562.0,562.0,552.5,556.5,2085222
2016-03-07,554.0,555.5,547.0,548.5,1412982
2016-03-08,544.0,550.0,543.5,548.0,2175842
2016-03-09,551.5,551.5,544.5,546.5,2077215
2016-03-10,548.0,559.0,545.5,545.5,3101283
2016-03-11,552.0,569.5,550.0,568.0,3283071
2016-03-14,570.0,580.0,568.5,577.0,3131741
2016-03-15,576.0,579.0,573.5,575.5,1901134
2016-03-16,579.0,585.0,574.5,576.0,2087388
2016-03-17,566.5,574.0,560.0,574.0,2242133
2016-03-18,575.5,579.55,571.0,572.0,3280646
2016-03-21,569.0,580.0,569.0,575.0,998917
2016-03-22,574.0,574.0,567.5,572.0,1573216
2016-03-23,570.5,573.5,570.0,571.5,1491331
2016-03-24,569.0,573.0,561.0,561.0,1306146
2016-03-29,566.0,569.5,563.0,568.5,1494767
2016-03-30,572.5,576.5,571.0,576.5,2101626
2016-03-31,579.5,580.0,575.0,578.5,2395719
2016-04-01,572.5,578.5,572.0,577.5,1673549
2016-04-04,579.5,579.5,574.5,577.5,1629190
2016-04-05,574.5,582.0,573.0,580.0,1685540
2016-04-06,580.0,587.0,579.0,584.0,2132839
2016-04-07,585.5,588.5,574.0,576.0,2039389
2016-04-08,576.0,592.0,576.0,590.0,2352907
2016-04-11,589.5,594.0,583.5,592.0,1852334
2016-04-12,593.5,593.5,582.5,588.5,1945598
2016-04-13,594.0,602.5,592.0,602.5,1809739
2016-04-14,602.5,604.5,593.5,596.0,2037655
2016-04-15,597.0,597.0,584.5,585.5,2493122
2016-04-18,582.0,585.0,579.0,580.5,1667233
2016-04-19,581.0,585.0,580.5,583.0,1921012
2016-04-20,583.0,586.5,582.95,585.5,1575909
2016-04-21,584.5,585.5,577.5,582.5,1790051
2016-04-22,581.5,582.0,569.0,571.0,1568863
2016-04-25,573.0,580.5,571.5,579.5,1670105
2016-04-26,578.0,588.5,578.0,586.5,2513951
2016-04-27,585.0,590.0,584.5,590.0,1520661
2016-04-28,586.0,591.0,584.0,591.0,1729583
2016-04-29,586.0,589.0,581.5,584.5,2087341
2016-05-03,586.5,586.5,581.5,583.5,1437510
2016-05-04,582.5,583.5,576.5,578.5,1930666
2016-05-05,578.5,583.0,578.5,579.5,1170041
2016-05-06,579.0,583.0,578.0,581.5,1808180
2016-05-09,585.0,589.5,583.0,586.5,1947051
2016-05-10,590.0,593.0,587.0,589.5,1739475
2016-05-11,587.0,588.5,578.5,580.5,1124679
2016-05-12,579.0,579.0,573.0,575.0,1978063
2016-05-13,573.0,574.0,569.0,571.0,2159209
2016-05-16,569.0,570.5,562.5,569.5,1482496
2016-05-17,570.0,576.55,569.5,571.0,1922789
2016-05-18,568.0,570.5,563.0,564.0,1816995
2016-05-19,562.0,565.36,556.5,558.0,2276349
2016-05-20,560.5,569.0,560.5,567.5,2198095
2016-05-23,566.0,573.5,566.0,572.5,1556468
2016-05-24,572.0,579.0,569.0,578.0,1857159
