"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 21, 2018","7,279.50","7,236.00","7,281.75","7,217.50","0","0.45"
"Feb 20, 2018","7,246.77","7,247.66","7,264.78","7,202.14","699.56M","-0.01"
"Feb 19, 2018","7,247.66","7,294.70","7,306.21","7,239.98","520.05M","-0.64"
"Feb 16, 2018","7,294.70","7,234.81","7,307.97","7,234.81","671.91M","0.83"
"Feb 15, 2018","7,234.81","7,213.97","7,267.96","7,206.69","770.03M","0.29"
"Feb 14, 2018","7,213.97","7,168.01","7,243.15","7,145.73","969.40M","0.64"
"Feb 13, 2018","7,168.01","7,177.06","7,202.99","7,165.83","740.99M","-0.13"
"Feb 12, 2018","7,177.06","7,092.43","7,199.93","7,092.43","737.67M","1.19"
"Feb 09, 2018","7,092.43","7,170.69","7,170.69","7,073.03","955.73M","-1.09"
"Feb 08, 2018","7,170.69","7,279.42","7,279.42","7,161.31","1.00B","-1.49"
"Feb 07, 2018","7,279.42","7,141.40","7,311.50","7,141.40","1.06B","1.93"
"Feb 06, 2018","7,141.40","7,334.98","7,334.98","7,079.41","1.40B","-2.64"
"Feb 05, 2018","7,334.98","7,443.43","7,443.43","7,334.79","916.49M","-1.46"
"Feb 02, 2018","7,443.43","7,490.39","7,494.76","7,432.25","898.53M","-0.63"
"Feb 01, 2018","7,490.39","7,533.55","7,554.73","7,476.51","899.49M","-0.57"
"Jan 31, 2018","7,533.55","7,587.98","7,599.01","7,521.77","907.20M","-0.72"
"Jan 30, 2018","7,587.98","7,671.53","7,671.67","7,587.12","823.71M","-1.09"
"Jan 29, 2018","7,671.53","7,665.54","7,689.15","7,663.93","631.88M","0.08"
"Jan 26, 2018","7,665.54","7,615.84","7,667.40","7,615.84","735.67M","0.65"
"Jan 25, 2018","7,615.84","7,643.43","7,662.35","7,608.53","735.31M","-0.36"
"Jan 24, 2018","7,643.43","7,731.83","7,731.98","7,643.43","769.85M","-1.14"
"Jan 23, 2018","7,731.83","7,715.44","7,745.22","7,710.03","765.38M","0.21"
"Jan 22, 2018","7,715.44","7,730.79","7,739.35","7,703.67","752.61M","-0.20"
"Jan 19, 2018","7,730.79","7,700.96","7,731.82","7,694.66","820.00M","0.39"
"Jan 18, 2018","7,700.96","7,725.43","7,739.54","7,683.71","789.20M","-0.32"
"Jan 17, 2018","7,725.43","7,755.93","7,755.93","7,711.11","847.95M","-0.39"
"Jan 16, 2018","7,755.93","7,769.14","7,791.83","7,740.55","849.62M","-0.17"
"Jan 15, 2018","7,769.14","7,778.64","7,783.61","7,763.43","568.97M","-0.12"
"Jan 12, 2018","7,778.64","7,762.94","7,792.56","7,752.63","1.17B","0.20"
"Jan 11, 2018","7,762.94","7,748.51","7,768.96","7,734.64","1.01B","0.19"
"Jan 10, 2018","7,748.51","7,731.02","7,756.11","7,716.21","885.66M","0.23"
"Jan 09, 2018","7,731.02","7,696.51","7,733.12","7,696.50","728.23M","0.45"
"Jan 08, 2018","7,696.51","7,724.22","7,733.39","7,691.77","654.44M","-0.36"
"Jan 05, 2018","7,724.22","7,695.88","7,727.73","7,689.81","655.71M","0.37"
"Jan 04, 2018","7,695.88","7,671.11","7,702.51","7,671.11","727.69M","0.32"
"Jan 03, 2018","7,671.11","7,648.10","7,689.86","7,640.53","589.34M","0.30"
"Jan 02, 2018","7,648.10","7,687.77","7,691.34","7,624.14","594.07M","-0.52"
"Dec 29, 2017","7,687.77","7,622.88","7,697.62","7,620.01","298.18M","0.85"
"Dec 28, 2017","7,622.88","7,620.68","7,633.55","7,609.77","321.52M","0.03"
"Dec 27, 2017","7,620.68","7,592.66","7,632.71","7,586.42","472.51M","0.37"
"Dec 22, 2017","7,592.66","7,603.98","7,614.40","7,585.47","251.37M","-0.15"
"Dec 21, 2017","7,603.98","7,525.22","7,609.69","7,517.88","640.56M","1.05"
"Dec 20, 2017","7,525.22","7,544.09","7,550.60","7,511.45","679.71M","-0.25"
"Dec 19, 2017","7,544.09","7,537.01","7,563.49","7,534.08","695.72M","0.09"
"Dec 18, 2017","7,537.01","7,490.57","7,544.26","7,490.57","585.56M","0.62"
"Dec 15, 2017","7,490.57","7,448.12","7,490.57","7,433.78","1.22B","0.57"
"Dec 14, 2017","7,448.12","7,496.51","7,496.70","7,448.12","924.06M","-0.65"
"Dec 13, 2017","7,496.51","7,500.41","7,510.77","7,492.58","1.03B","-0.05"
"Dec 12, 2017","7,500.41","7,453.48","7,501.52","7,448.31","1.02B","0.63"
"Dec 11, 2017","7,453.48","7,393.96","7,458.40","7,393.58","933.60M","0.80"
"Dec 08, 2017","7,393.96","7,320.75","7,412.21","7,314.23","1.04B","1.00"
"Dec 07, 2017","7,320.75","7,348.03","7,371.73","7,314.60","823.88M","-0.37"
"Dec 06, 2017","7,348.03","7,327.50","7,369.71","7,289.36","692.98M","0.28"
"Dec 05, 2017","7,327.50","7,338.97","7,373.90","7,326.57","903.63M","-0.16"
"Dec 04, 2017","7,338.97","7,300.49","7,369.65","7,300.49","768.16M","0.53"
"Dec 01, 2017","7,300.49","7,326.67","7,355.43","7,288.73","865.25M","-0.36"
"Nov 30, 2017","7,326.67","7,393.56","7,416.26","7,326.67","1.38B","-0.90"
"Nov 29, 2017","7,393.56","7,460.65","7,460.65","7,386.67","1.11B","-0.90"
"Nov 28, 2017","7,460.65","7,383.90","7,469.61","7,373.95","946.12M","1.04"
"Nov 27, 2017","7,383.90","7,409.64","7,438.39","7,383.90","656.44M","-0.35"
"Nov 24, 2017","7,409.64","7,417.24","7,425.19","7,389.54","561.89M","-0.10"
"Nov 23, 2017","7,417.24","7,419.02","7,422.73","7,373.31","577.46M","-0.02"
"Nov 22, 2017","7,419.02","7,411.34","7,460.91","7,410.38","859.39M","0.10"
"Nov 21, 2017","7,411.34","7,389.46","7,422.18","7,367.86","753.29M","0.30"
"Nov 20, 2017","7,389.46","7,380.68","7,397.39","7,350.37","738.28M","0.12"
"Nov 17, 2017","7,380.68","7,386.94","7,406.53","7,356.16","731.96M","-0.08"
"Nov 16, 2017","7,386.94","7,372.61","7,393.28","7,368.14","926.68M","0.19"
"Nov 15, 2017","7,372.61","7,414.42","7,415.09","7,357.06","919.47M","-0.56"
"Nov 14, 2017","7,414.42","7,415.18","7,436.57","7,396.92","1.18B","-0.01"
"Nov 13, 2017","7,415.18","7,432.99","7,469.30","7,402.95","759.79M","-0.24"
"Nov 10, 2017","7,432.99","7,484.10","7,500.29","7,421.73","694.70M","-0.68"
"Nov 09, 2017","7,484.10","7,529.72","7,532.20","7,476.89","860.71M","-0.61"
"Nov 08, 2017","7,529.72","7,513.11","7,534.49","7,504.77","807.97M","0.22"
"Nov 07, 2017","7,513.11","7,562.28","7,582.85","7,507.83","747.48M","-0.65"
"Nov 06, 2017","7,562.28","7,560.35","7,572.90","7,544.20","632.91M","0.03"
"Nov 03, 2017","7,560.35","7,555.32","7,580.95","7,541.91","672.31M","0.07"
"Nov 02, 2017","7,555.32","7,487.96","7,562.26","7,478.88","1.03B","0.90"
"Nov 01, 2017","7,487.96","7,493.08","7,532.36","7,487.96","1.21B","-0.07"
"Oct 31, 2017","7,493.08","7,487.81","7,516.85","7,483.97","730.56M","0.07"
"Oct 30, 2017","7,487.81","7,505.03","7,507.02","7,478.41","749.41M","-0.23"
